f1_score_0,f1_score_1,f1_score_2,f1_score_3,f1_score_4,f1_score_5,f1_score_6,f1_score_7,model,precision,recall,ts_name
0,0,0,0,0,0,0,0,sr,1,1,real_1
0,0,0,0,0,0,0,0,sr,0,0,real_10
0,0,0,0,0,0,0,0,sr,1,0.105263158,real_11
0.571428571,0.571428571,0.571428571,0.571428571,0.571428571,0.571428571,0.571428571,0.571428571,sr,0.5,0.5,real_12
0,0.8,1,1,1,1,1,1,sr,1,0.166666667,real_13
0,0.769230769,1,1,1,1,1,1,sr,1,0.2,real_15
0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,sr,1,1,real_16
0,0.664723032,0.664723032,0.664723032,0.664723032,0.664723032,0.664723032,0.664723032,sr,0,0,real_17
0.65129683,0.65129683,0.65129683,0.65129683,0.65129683,0.65129683,0.65129683,0.65129683,sr,1,0.025,real_19
0.761904762,0.761904762,0.761904762,0.761904762,0.761904762,0.761904762,0.761904762,0.761904762,sr,0.75,0.230769231,real_2
0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,sr,1,1,real_20
0,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,sr,0.75,0.6,real_21
0,0,0.976744186,0.976744186,0.976744186,0.976744186,0.976744186,0.976744186,sr,0,0,real_22
0,0,0,0,0,0,0,0,sr,0,0,real_23
0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,sr,0,0,real_24
0,0.843137255,0.843137255,0.843137255,0.843137255,0.843137255,0.843137255,0.843137255,sr,1,0.023255814,real_25
0,0,0,0,0,0,0,0,sr,1,1,real_26
1,1,1,1,1,1,1,1,sr,1,1,real_27
0.024096386,0.024096386,0.024096386,0.024096386,0.024096386,0.024096386,0.024096386,0.024096386,sr,1,1,real_28
0.363636364,0.615384615,0.615384615,0.615384615,0.615384615,0.615384615,0.615384615,0.615384615,sr,0,0,real_29
0.965517241,0.965517241,0.965517241,0.965517241,0.965517241,0.965517241,0.965517241,0.965517241,sr,0.5,0.071428571,real_3
0,0,0,0,0,0,0.941176471,0.941176471,sr,1,0.125,real_30
0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,sr,1,1,real_31
0,0,0,0,0,0,0,0,sr,1,1,real_32
0.571428571,0.571428571,0.571428571,0.571428571,0.571428571,0.571428571,0.571428571,0.571428571,sr,0.5,0.5,real_33
0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,0.833333333,sr,1,1,real_34
0.738095238,0.738095238,0.781609195,0.781609195,0.781609195,0.781609195,0.781609195,0.781609195,sr,1,0.333333333,real_37
0,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,sr,1,1,real_38
0,0,0,0,0,0,0,0,sr,1,1,real_39
0.133333333,0.133333333,0.444444444,0.444444444,0.444444444,0.444444444,0.444444444,0.444444444,sr,1,0.4,real_4
0,0,0,0,0,0,0,0,sr,1,1,real_40
0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,sr,0,0,real_41
0,0,0.327868852,0.327868852,0.327868852,0.327868852,0.327868852,0.327868852,sr,0,0,real_42
0.181818182,0.181818182,0.181818182,0.181818182,0.181818182,0.181818182,0.181818182,0.181818182,sr,1,1,real_43
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,sr,1,1,real_45
0.036036036,0.036036036,0.036036036,0.036036036,0.036036036,0.036036036,0.036036036,0.036036036,sr,1,1,real_46
0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,sr,1,1,real_47
1,1,1,1,1,1,1,1,sr,1,0.142857143,real_50
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,sr,1,1,real_51
0.2,0.2,0.2,0.875,0.875,0.875,0.875,0.875,sr,1,1,real_52
0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,sr,0,0,real_53
0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,sr,1,1,real_55
0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,sr,1,1,real_56
0,0,0,0,0,0,0,0,sr,1,1,real_57
0,0,0,0,0,0,0,0,sr,0,0,real_58
0,0,0,0,0,0,0,0,sr,0,0,real_6
0.117647059,0.545454545,0.545454545,0.814814815,0.814814815,0.814814815,0.814814815,0.814814815,sr,1,0.2,real_60
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,sr,1,1,real_61
0.444444444,0.444444444,0.444444444,0.444444444,0.444444444,0.444444444,0.444444444,0.444444444,sr,0.666666667,0.5,real_62
0,0,0,0,0,0,0,0,sr,0,0,real_63
0,0,0,0,0,0,0,0,sr,0,0,real_65
0,0.307692308,0.307692308,0.307692308,0.307692308,0.307692308,0.307692308,0.307692308,sr,1,0.125,real_66
0,0,0,0,0,0,0,0,sr,0,0,real_67
0,0,0,0,0,0,0,0,sr,0,0,real_7
0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,sr,1,1,real_8
0.333333333,0.75,0.75,0.75,0.75,0.75,0.75,0.75,sr,1,1,real_9
0.244394283,0.351623127,0.388944687,0.405808263,0.405808263,0.405808263,0.422614986,0.422614986,,0.69047619,0.50443882,
