,entropy
0,"[1.1555900806523225, 0.8916174614564902]"
1,"[1.2753714819478514, 1.0522279306336417]"
2,"[1.272991742595987, 1.211734809661425]"
3,"[1.3741842923033785, 0.9400530785560856]"
4,"[1.2192820152968082, 1.0190145456465722]"
5,"[1.2729917425959874, 0.6910874475969347]"
6,"[1.1006762728889612, 1.0892532532234875]"
7,"[1.1503658632851332, 0.9635405087167624]"
8,"[1.1671509030533989, 0.8550598657226929]"
9,"[1.1415156964512292, 0.8711892476525762]"
10,"[1.5040358279695005, 1.0073773644682902]"
11,"[1.6712671390398655, 0.9053606041974915]"
12,"[1.3658854894886836, 0.9351025733962293]"
